league,season,window,team_id,team_name,team_country,dir,player_id,player_name,player_age,player_nation,player_nation2,player_pos,counter_team_id,counter_team_name,counter_team_country,transfer_fee_amnt,market_val_amnt,is_free,is_loan,is_loan_end,is_retired,transfer_id,transfer_window,transfer_month,transfer_month_year,position_group,league_name
GB1,2009,w,148,Tottenham Hotspur,England,in,27114,Younès Kaboul,23,France,Morocco,CB,1020,Portsmouth FC,England,5900000,NA,FALSE,FALSE,FALSE,FALSE,385673,Winter,January,Jan 2009,Defender,Premier League
GB1,2009,w,379,West Ham United,England,in,3091,Benni McCarthy,32,South Africa,NA,CF,164,Blackburn Rovers,England,2600000,NA,FALSE,FALSE,FALSE,FALSE,386318,Winter,January,Jan 2009,Forward,Premier League
GB1,2009,w,281,Manchester City,England,in,31579,Adam Johnson,22,England,NA,RW,641,Middlesbrough FC,England,8000000,NA,FALSE,FALSE,FALSE,FALSE,386584,Winter,January,Jan 2009,Forward,Premier League
GB1,2009,w,1071,Wigan Athletic,England,in,59866,Victor Moses,19,Nigeria,England,RM,873,Crystal Palace,England,3000000,6500000,FALSE,FALSE,FALSE,FALSE,386151,Winter,January,Jan 2009,Midfielder,Premier League
GB1,2009,w,1071,Wigan Athletic,England,in,3791,Gary Caldwell,27,Scotland,NA,CB,371,Celtic FC,Scotland,1100000,NA,FALSE,FALSE,FALSE,FALSE,378342,Winter,January,Jan 2009,Defender,Premier League
GB1,2009,w,512,Stoke City,England,in,33873,Asmir Begovic,22,Bosnia-Herzegovina,Canada,GK,1020,Portsmouth FC,England,3750000,1200000,FALSE,FALSE,FALSE,FALSE,386608,Winter,January,Jan 2009,Goalkeeper,Premier League
GB1,2009,w,355,Bolton Wanderers,England,in,14063,Paul Robinson,31,England,NA,CB,984,West Bromwich Albion,England,1200000,NA,FALSE,FALSE,FALSE,FALSE,423422,Winter,January,Jan 2009,Defender,Premier League
GB1,2009,w,289,Sunderland AFC,England,in,4095,Matthew Kilgallon,26,England,NA,CB,350,Sheffield United,England,2300000,NA,FALSE,FALSE,FALSE,FALSE,381689,Winter,January,Jan 2009,Defender,Premier League
GB1,2009,w,337,Birmingham City,England,in,37171,Craig Gardner,23,England,NA,CM,405,Aston Villa,England,3500000,NA,FALSE,FALSE,FALSE,FALSE,383171,Winter,January,Jan 2009,Midfielder,Premier League
GB1,2009,w,337,Birmingham City,England,in,57818,Míchel Madera,24,Spain,NA,CM,2448,Sporting Gijón,Spain,3300000,NA,FALSE,FALSE,FALSE,FALSE,377746,Winter,January,Jan 2009,Midfielder,Premier League
GB1,2009,w,1132,Burnley FC,England,in,31553,Danny Fox,23,Scotland,England,LB,371,Celtic FC,Scotland,2100000,300000,FALSE,FALSE,FALSE,FALSE,384935,Winter,January,Jan 2009,Defender,Premier League
GB1,2009,w,1132,Burnley FC,England,in,36874,Leon Cort,30,Guyana,England,CB,512,Stoke City,England,1800000,NA,FALSE,FALSE,FALSE,FALSE,384010,Winter,January,Jan 2009,Defender,Premier League
GB1,2009,w,1132,Burnley FC,England,in,111114,Kevin Long,19,Ireland,NA,CB,6065,Cork City FC (- 2009),Ireland,350000,1000000,FALSE,FALSE,FALSE,FALSE,364225,Winter,January,Jan 2009,Defender,Premier League
ES1,2009,w,13,Atlético de Madrid,Spain,in,84535,Eduardo Salvio,19,Argentina,NA,RW,333,Club Atlético Lanús,Argentina,8000000,4800000,FALSE,FALSE,FALSE,FALSE,381720,Winter,January,Jan 2009,Forward,La Liga
ES1,2009,w,366,Real Valladolid CF,Spain,in,48931,Henrique Sereno,24,Portugal,NA,CB,2420,Vitória Guimarães SC,Portugal,300000,NA,FALSE,FALSE,FALSE,FALSE,386614,Winter,January,Jan 2009,Defender,La Liga
IT1,2009,w,46,FC Internazionale,Italy,in,37124,McDonald Mariga,22,Kenya,NA,DM,130,Parma FC,Italy,10000000,NA,FALSE,FALSE,FALSE,FALSE,386597,Winter,January,Jan 2009,Midfielder,Serie A
IT1,2009,w,5,AC Milan,Italy,in,85563,Dominic Adiyiah,20,Ghana,NA,RW,3837,Fredrikstad FK,Norway,1400000,300000,FALSE,FALSE,FALSE,FALSE,356310,Winter,January,Jan 2009,Forward,Serie A
