season,transfers,median_fee,mean_fee,median_fee_index,mean_fee_index,median_fee_yoy_pct,mean_fee_yoy_pct
2009,499,2500000,4547921.843687375,100,100,NA,NA
2010,480,2000000,4019116.6666666665,80,88.37259752485186,-19.999999999999996,-11.627402475148141
2011,600,2000000,3779966.6666666665,80,83.11415183867663,0,-5.9503124650109545
2012,543,2000000,3881451.197053407,80,85.34560026445824,0,2.684799611638722
2013,553,2000000,5023878.842676311,80,110.46537331439798,0,29.43300295750657
2014,533,2450000,5409148.217636023,98,118.93670127915787,22.500000000000007,7.668763260908418
2015,618,3000000,6007836.569579288,120,132.10069952979316,22.44897959183674,11.06807075449141
2016,616,3140000,6919472.402597402,125.6,152.14580725923855,4.666666666666663,15.174111719919047
2017,657,3500000,8635388.127853882,140,189.87547334042267,11.46496815286624,24.79836070467405
2018,643,4000000,8272342.146189735,160,181.89279478652313,14.28571428571428,-4.204165189670183
2019,640,5000000,10539785.9375,200,231.74949569833694,25,27.40993724920644
2020,445,4000000,8666262.921348315,160,190.55435029907773,-19.999999999999996,-17.77572170119498
2021,376,3820000,8295997.340425532,152.8,182.4129267291736,-4.499999999999993,-4.2724942029012
